outcome,outcome_label,cohort,window,n_treated_states,n_control_states,treated_change,control_change,att
firearm_homicide_rate_per_100k,Firearm Homicide,2022,5,3,21,0.23270056257745786,0.24209244984641742,-0.009391887268959564
firearm_homicide_rate_per_100k,Firearm Homicide,2023,2,3,21,-0.8093123609523785,-1.001481839248413,0.1921694782960346
firearm_homicide_rate_per_100k,Firearm Homicide,2023,3,3,21,-0.7400642525322212,-0.8489496091164623,0.10888535658424114
firearm_homicide_rate_per_100k,Firearm Homicide,2023,5,3,21,-0.20938510036584201,-0.2502753473551991,0.04089024698935706
firearm_homicide_rate_per_100k,Firearm Homicide,2024,2,2,21,-2.5923169264184764,-0.8357604243021308,-1.7565565021163456
firearm_homicide_rate_per_100k,Firearm Homicide,2024,3,2,21,-3.1120182801057332,-1.06964512061134,-2.0423731594943932
firearm_homicide_rate_per_100k,Firearm Homicide,2024,5,2,21,-2.5659791634561167,-0.7409523164526606,-1.825026847003456
total_firearm_rate_per_100k,Total Firearm Deaths,2003,2,1,21,0.745311707173208,-0.1294950218379487,0.8748067290111567
total_firearm_rate_per_100k,Total Firearm Deaths,2003,3,1,21,0.12684391198694556,-0.10112407677941526,0.22796798876636082
total_firearm_rate_per_100k,Total Firearm Deaths,2003,5,1,21,0.7068786036350616,-0.24117316797237898,0.9480517716074406
total_firearm_rate_per_100k,Total Firearm Deaths,2010,2,1,21,0.7495652829891686,-0.014089188676848607,0.7636544716660172
total_firearm_rate_per_100k,Total Firearm Deaths,2010,3,1,21,0.17187318601298074,0.10314812432060272,0.06872506169237802
total_firearm_rate_per_100k,Total Firearm Deaths,2010,5,1,21,-0.7592436513628797,0.1128127731809414,-0.8720564245438212
total_firearm_rate_per_100k,Total Firearm Deaths,2011,2,1,21,1.8621946291099647,0.11479954490603461,1.74739508420393
total_firearm_rate_per_100k,Total Firearm Deaths,2011,3,1,21,1.399581584669459,0.14616543809155047,1.2534161465779086
total_firearm_rate_per_100k,Total Firearm Deaths,2011,5,1,21,1.9767947964711894,0.3024790384859912,1.6743157579851982
total_firearm_rate_per_100k,Total Firearm Deaths,2015,2,2,21,-0.020743471610247255,0.9175332378182421,-0.9382767094284894
total_firearm_rate_per_100k,Total Firearm Deaths,2015,3,2,21,0.9908135279408121,0.9748442275455762,0.01596930039523592
total_firearm_rate_per_100k,Total Firearm Deaths,2015,5,2,21,1.7627202334395164,1.1575712525788386,0.6051489808606778
total_firearm_rate_per_100k,Total Firearm Deaths,2016,2,2,21,2.373274343124603,0.8491271928385036,1.5241471502860993
total_firearm_rate_per_100k,Total Firearm Deaths,2016,3,2,21,2.6776848900131807,0.965293515597228,1.7123913744159527
total_firearm_rate_per_100k,Total Firearm Deaths,2016,5,2,21,2.780250872080998,1.3406807265864344,1.4395701454945637
total_firearm_rate_per_100k,Total Firearm Deaths,2017,2,3,21,1.7754398357441925,0.2767075148722338,1.4987323208719587
total_firearm_rate_per_100k,Total Firearm Deaths,2017,3,3,21,1.888883295187762,0.577772480839835,1.311110814347927
total_firearm_rate_per_100k,Total Firearm Deaths,2017,5,3,21,2.899914496617365,1.5485398484852322,1.3513746481321327
total_firearm_rate_per_100k,Total Firearm Deaths,2019,2,3,21,1.4158245901851796,0.5857275450427153,0.8300970451424643
total_firearm_rate_per_100k,Total Firearm Deaths,2019,3,3,21,1.7066601405449262,1.2283785624298726,0.47828157811505356
total_firearm_rate_per_100k,Total Firearm Deaths,2019,5,3,21,2.311699781806661,1.8166561535146695,0.49504362829199167
total_firearm_rate_per_100k,Total Firearm Deaths,2021,2,5,21,1.952676532978895,1.685955423941543,0.266721109037352
total_firearm_rate_per_100k,Total Firearm Deaths,2021,3,5,21,2.2720247137787055,1.6325608663454272,0.6394638474332783
total_firearm_rate_per_100k,Total Firearm Deaths,2021,5,5,21,2.1404030410935224,1.5476666594369046,0.5927363816566178
total_firearm_rate_per_100k,Total Firearm Deaths,2022,2,3,21,0.04825934037494761,-0.04730776926479763,0.09556710963974524
total_firearm_rate_per_100k,Total Firearm Deaths,2022,3,3,21,0.7006617999805727,0.3188746727741396,0.38178712720643304
total_firearm_rate_per_100k,Total Firearm Deaths,2022,5,3,21,1.4192835298265027,0.8071583651905048,0.612125164635998
total_firearm_rate_per_100k,Total Firearm Deaths,2023,2,3,21,-0.7248597874120044,-0.9886537807272759,0.26379399331527154
total_firearm_rate_per_100k,Total Firearm Deaths,2023,3,3,21,-0.2732668253409507,-0.6419650673173258,0.36869824197637513
total_firearm_rate_per_100k,Total Firearm Deaths,2023,5,3,21,0.3485630393393784,0.13022322121064356,0.21833981812873482
total_firearm_rate_per_100k,Total Firearm Deaths,2024,2,2,21,-2.835735303165091,-0.8227591284480411,-2.01297617471705
total_firearm_rate_per_100k,Total Firearm Deaths,2024,3,2,21,-3.3001032524879506,-1.0483710139167943,-2.2517322385711562
total_firearm_rate_per_100k,Total Firearm Deaths,2024,5,2,21,-2.4699394576791107,-0.4668824990939484,-2.0030569585851623
