outcome,outcome_label,specification,coef_post_permitless,se_post_permitless,p_post_permitless,nobs,r2,interpretation_flag,excluded_state
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3240164335611933,0.4977861056664964,0.007818475627847321,1274.0,0.9332971625601958,positive_p05,Alaska
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.591757334400776,0.41993335839691526,0.0001503444200382465,1274.0,0.9355581759360481,positive_p05,Arizona
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3502029807659603,0.4775246450463584,0.004691238737170537,1274.0,0.9339939298126146,positive_p05,Florida
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3497647050290076,0.477879233314202,0.004735605298477217,1274.0,0.9329680417248948,positive_p05,Georgia
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.4046903064593925,0.486534945497541,0.003887718625662113,1274.0,0.9337057518171338,positive_p05,Idaho
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3436744905481495,0.47695111259054007,0.004844187660577015,1274.0,0.9333252901337494,positive_p05,Indiana
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3692184976418613,0.4783636884847656,0.004205838427187497,1274.0,0.9323837316248218,positive_p05,Iowa
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3604211942197595,0.49309211134903197,0.005798571027892972,1274.0,0.933474944501386,positive_p05,Kansas
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.3789536996605105,0.4824900178747117,0.004263281088033281,1274.0,0.932936851972397,positive_p05,Kentucky
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.4322369136453124,0.4671349366012596,0.002169414540568974,1274.0,0.9309402523130029,positive_p05,Louisiana
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.430042208674198,0.48425470568891565,0.0031462184193379824,1274.0,0.9341011910942246,positive_p05,Maine
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.238066204314022,0.47130462614185303,0.008616875751591918,1274.0,0.9327961974868482,positive_p05,Mississippi
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.1993547622760337,0.46088094907229504,0.009259830795224602,1274.0,0.9339941038086217,positive_p05,Missouri
total_firearm_rate_per_100k,Total Firearm Deaths,leave_one_adopter_out,1.302276107480224,0.4794011183678728,0.0065983275967261374,1274.0,0.9336931155738742,positive_p05,Montana
