State,State Code,Year,population,firearm_suicide_deaths,firearm_suicide_rate_per_100k,total_suicide_deaths,total_suicide_rate_per_100k,nonfirearm_suicide_deaths,nonfirearm_suicide_rate_per_100k,unemployment_rate,income_pc,gun_ownership,mean_rucc_2013,share_nonmetro_counties_2013,rep_vote_share_2party,permitless_year,ever_adopter,post_permitless,years_since_permitless
Kansas,20,2017,2913123,316,10.847465074423566,555,19.051718722484427,239,8.204253648060861,3.641666666666667,48271.0,0.423,6.523809523809524,0.819047619047619,0.6111147034260667,2015.0,1,1,2.0
Kansas,20,2018,2911505,292,10.029177349858578,562,19.302731748700417,270,9.27355439884184,3.3083333333333336,50282.0,0.423,6.523809523809524,0.819047619047619,0.6111147034260667,2015.0,1,1,3.0
Kansas,20,2019,2913314,291,9.98862463847014,526,18.05503972451991,235,8.066415086049771,3.15,52156.0,0.423,6.523809523809524,0.819047619047619,0.6111147034260667,2015.0,1,1,4.0
Kansas,20,2020,2913805,314,10.776287363087098,532,18.2579136215361,218,7.481626258449003,5.825,55231.0,0.423,6.523809523809524,0.819047619047619,0.5749342825563135,2015.0,1,1,5.0
Kansas,20,2021,2934582,345,11.756359168017797,561,19.116862299298504,216,7.360503131280707,3.391666666666667,59209.0,0.423,6.523809523809524,0.819047619047619,0.5749342825563135,2015.0,1,1,6.0
Kansas,20,2022,2937150,349,11.882266823281071,599,20.393919275488145,250,8.511652452207073,2.725,61875.0,0.423,6.523809523809524,0.819047619047619,0.5749342825563135,2015.0,1,1,7.0
Kansas,20,2023,2940546,320,10.88233273684547,573,19.48617705691392,253,8.60384432006845,2.875,63513.0,0.423,6.523809523809524,0.819047619047619,0.5749342825563135,2015.0,1,1,8.0
Kansas,20,2024,2970606,316,10.637560147660109,530,17.84147746284765,214,7.203917315187541,3.5583333333333336,65856.0,0.423,6.523809523809524,0.819047619047619,0.5749342825563135,2015.0,1,1,9.0
Kentucky,21,1999,4018053,334,8.312483683017621,470,11.697207577899048,136,3.384723894881425,4.508333333333333,23189.0,0.54,5.741666666666666,0.7083333333333334,0.5772761526567658,2019.0,1,0,-20.0
Kentucky,21,2000,4041769,373,9.228632314216869,522,12.915136911585002,149,3.686504597368133,4.15,24815.0,0.553,5.741666666666666,0.7083333333333334,0.5772761526567658,2019.0,1,0,-19.0
Kentucky,21,2001,4068132,331,8.136412486123852,497,12.21690938248808,166,4.080496896364227,5.158333333333333,25564.0,0.522,5.741666666666666,0.7083333333333334,0.5772761526567658,2019.0,1,0,-18.0
Kentucky,21,2002,4089875,364,8.900027506953146,541,13.22778813533421,177,4.327760628381064,5.783333333333334,26053.0,0.52,5.741666666666666,0.7083333333333334,0.5772761526567658,2019.0,1,0,-17.0
Kentucky,21,2003,4117170,400,9.715411314082246,570,13.844461122567202,170,4.129049808484956,6.183333333333334,26661.0,0.507,5.741666666666666,0.7083333333333334,0.5772761526567658,2019.0,1,0,-16.0
Kentucky,21,2004,4146101,377,9.092880274744877,560,13.506665660098488,183,4.413785385353611,5.516666666666667,28030.0,0.52,5.741666666666666,0.7083333333333334,0.6000761991547393,2019.0,1,0,-15.0
Kentucky,21,2005,4182742,373,8.917595204294216,566,13.531793259063074,193,4.614198054768858,5.841666666666666,29104.0,0.502,5.741666666666666,0.7083333333333334,0.6000761991547393,2019.0,1,0,-14.0
Kentucky,21,2006,4219239,383,9.077466339309057,624,14.789396855688906,241,5.71193051637985,5.733333333333333,30476.0,0.476,5.741666666666666,0.7083333333333334,0.6000761991547393,2019.0,1,0,-13.0
Kentucky,21,2007,4256672,422,9.913848189383632,649,15.246652784146864,227,5.332804594763232,5.366666666666667,31529.0,0.509,5.741666666666666,0.7083333333333334,0.6000761991547393,2019.0,1,0,-12.0
Kentucky,21,2008,4289878,394,9.184410372509427,612,14.266139969481651,218,5.081729596972224,6.541666666666667,32830.0,0.499,5.741666666666666,0.7083333333333334,0.5823342758770461,2019.0,1,0,-11.0
Kentucky,21,2009,4317074,403,9.335026455418646,597,13.828810902940278,194,4.493784447521632,10.625,32198.0,0.491,5.741666666666666,0.7083333333333334,0.5823342758770461,2019.0,1,0,-10.0
Kentucky,21,2010,4339367,404,9.310113664043628,631,14.541291391117646,227,5.231177727074018,10.283333333333331,33187.0,0.464,5.741666666666666,0.7083333333333334,0.5823342758770461,2019.0,1,0,-9.0
Kentucky,21,2011,4369356,453,10.36766058888312,677,15.494274213408108,224,5.126613624524987,9.375,34607.0,0.529,5.741666666666666,0.7083333333333334,0.5823342758770461,2019.0,1,0,-8.0
Kentucky,21,2012,4380415,469,10.706748104917,727,16.596601006982215,258,5.889852902065215,8.191666666666666,35630.0,0.514,5.741666666666666,0.7083333333333334,0.6154277239380491,2019.0,1,0,-7.0
Kentucky,21,2013,4395295,453,10.306475447040528,704,16.017127405555257,251,5.710651958514729,7.916666666666667,35758.0,0.498,5.741666666666666,0.7083333333333334,0.6154277239380491,2019.0,1,0,-6.0
Kentucky,21,2014,4413457,470,10.64924842362801,729,16.517664044308123,259,5.868415620680114,6.441666666666666,37225.0,0.467,5.741666666666666,0.7083333333333334,0.6154277239380491,2019.0,1,0,-5.0
Kentucky,21,2015,4425092,499,11.276601706811972,777,17.55895696631844,278,6.282355259506469,5.25,38766.0,0.464,5.741666666666666,0.7083333333333334,0.6154277239380491,2019.0,1,0,-4.0
