State,State Code,Year,falls_deaths,falls_population,falls_rate_per_100k,non_transport_injury_excluding_falls_poisoning_deaths,non_transport_injury_excluding_falls_poisoning_population,non_transport_injury_excluding_falls_poisoning_rate_per_100k,accidental_poisoning_deaths,accidental_poisoning_population,accidental_poisoning_rate_per_100k
Indiana,18,2003,260,6196638,4.195823606284569,666,6196638,10.747763545328935,275.0,6196638.0,4.437890352800986
Indiana,18,2004,272,6233007,4.363864824794838,730,6233007,11.711843095956734,344.0,6233007.0,5.519005513711119
Indiana,18,2005,298,6278616,4.746268922960092,757,6278616,12.056797230472448,397.0,6278616.0,6.323049538305894
Indiana,18,2006,320,6332669,5.053161629006664,684,6332669,10.801132982001745,475.0,6332669.0,7.500786793056766
Indiana,18,2007,325,6379599,5.094364081504182,637,6379599,9.984953599748199,560.0,6379599.0,8.777981186591822
Indiana,18,2008,340,6424806,5.291988583001572,722,6424806,11.237693402726867,593.0,6424806.0,9.22985067564686
Indiana,18,2009,374,6459325,5.790078684692286,650,6459325,10.062970976069481,790.0,6459325.0,12.230380109376753
Indiana,18,2010,360,6483802,5.552297864740472,663,6483802,10.225481900897035,713.0,6483802.0,10.99663438211099
Indiana,18,2011,428,6516922,6.567517610307442,661,6516922,10.142825094423412,808.0,6516922.0,12.398491189552368
Indiana,18,2012,424,6537334,6.4858243436850564,679,6537334,10.386497003212625,837.0,6537334.0,12.80338437656696
Indiana,18,2013,418,6570902,6.361379305306943,703,6570902,10.69868337710713,919.0,6570902.0,13.985903305208325
Indiana,18,2014,412,6596855,6.2454002702803075,726,6596855,11.005244165591026,1040.0,6596855.0,15.765088060901746
Indiana,18,2015,467,6619680,7.054721678389288,744,6619680,11.23921398013197,1151.0,6619680.0,17.387547434317067
Indiana,18,2016,482,6633053,7.2666387559393835,722,6633053,10.884882119892605,1412.0,6633053.0,21.287331791258115
Indiana,18,2017,531,6666818,7.964819198604191,742,6666818,11.129747354735049,1761.0,6666818.0,26.414400393111077
Indiana,18,2018,559,6691878,8.35340990974432,764,6691878,11.416824992924258,1550.0,6691878.0,23.162406726482462
Indiana,18,2019,541,6732219,8.035983380813963,779,6732219,11.571221910636003,1624.0,6732219.0,24.122804085844503
Indiana,18,2020,606,6754953,8.971194914309544,813,6754953,12.035612979098447,2172.0,6754953.0,32.154183752277774
Indiana,18,2021,686,6805985,10.079363971563264,835,6805985,12.268613580547122,2684.0,6805985.0,39.43587886250117
Indiana,18,2022,738,6833037,10.800468371530844,655,6833037,9.585781549258403,2534.0,6833037.0,37.084535031787475
Indiana,18,2023,793,6862199,11.5560624225558,643,6862199,9.370174196347264,2087.0,6862199.0,30.412991520648117
Indiana,18,2024,827,6924275,11.94348866848876,607,6924275,8.766260727657409,1630.0,6924275.0,23.54037065252319
Iowa,19,1999,214,2917634,7.334710248098287,308,2917634,10.556498861748938,38.0,2917634.0,1.302425184241752
Iowa,19,2000,170,2926324,5.809336218409172,345,2926324,11.789535266771555,55.0,2926324.0,1.87949112948532
Iowa,19,2001,235,2931997,8.015015022184539,291,2931997,9.924976048747663,56.0,2931997.0,1.909961026563124
Iowa,19,2002,274,2934234,9.33804188759315,303,2934234,10.326374788104834,68.0,2934234.0,2.3174702494756723
Iowa,19,2003,319,2941999,10.842967655665417,281,2941999,9.551328875366716,81.0,2941999.0,2.7532300316893377
Iowa,19,2004,328,2953635,11.104960497827253,272,2953635,9.208991632344551,71.0,2953635.0,2.403817668736997
Iowa,19,2005,334,2964454,11.266830249347771,263,2964454,8.871785495743904,102.0,2964454.0,3.440768519261894
Iowa,19,2006,324,2982644,10.862845180316524,258,2982644,8.650043384326121,125.0,2982644.0,4.190912492406067
Iowa,19,2007,366,2999212,12.203205375278573,251,2999212,8.368864888510716,141.0,2999212.0,4.701234857689286
Iowa,19,2008,346,3016734,11.46935725854517,286,3016734,9.480451375560456,162.0,3016734.0,5.370045884058721
Iowa,19,2009,444,3032870,14.639598795860028,242,3032870,7.979240785130916,169.0,3032870.0,5.572279721847623
Iowa,19,2010,394,3046355,12.933489366800654,256,3046355,8.403485476906008,205.0,3046355.0,6.729353604553639
Iowa,19,2011,467,3062309,15.249930689554843,276,3062309,9.012807002820422,201.0,3062309.0,6.563674665097481
Iowa,19,2012,465,3074186,15.12595529353136,292,3074186,9.498449345615391,220.0,3074186.0,7.156365945326666
Iowa,19,2013,498,3090416,16.1143354163323,294,3090416,9.513282354220273,262.0,3090416.0,8.477823050359563
Iowa,19,2014,554,3107126,17.829981790246034,337,3107126,10.84603585435544,253.0,3107126.0,8.14257291143005
Iowa,19,2015,555,3123899,17.76625940851481,331,3123899,10.595733088681804,286.0,3123899.0,9.155225569072496
Iowa,19,2016,567,3134693,18.087895688668713,283,3134693,9.027997319035709,289.0,3134693.0,9.219403622619504
Iowa,19,2017,519,3145711,16.49865483510723,278,3145711,8.837429757533352,307.0,3145711.0,9.759319912096183
Iowa,19,2018,572,3156145,18.123375193471784,259,3156145,8.206213592848238,263.0,3156145.0,8.332950482313075
